Fleet,Functional Location,Equipment Model,Unit,Approx. Replacement Cost,Column1
Excavator - Large,6042.10.02.21-EX003,Excavator Hitachi EX2500-6 ,G3607," $6,900,000.00 ",true
Excavator - Large,6042.10.02.21-EX004,Excavator Hitachi EX2500-6 ,G3608," $6,900,000.00 ",true
Excavator - Large,6042.10.02.21-EX006,Excavator Hitachi EX2500-6 ,G3611," $6,900,000.00 ",true
Excavator - Large H1200,6042.10.02.21-EX012,Excavator Hitachi EX1200-6 ,G3519," $5,000,000.00 ",true
Excavator - Large H2600,6042.10.02.21-EX021,Excavator Hitachi EX2600-6 ,G3612," $6,900,000.00 ",true
D11R Dozers,6042.10.02.52-DZ006,Dozer Track Caterpillar D11R AAF ,G4709," $3,500,000.00 ",true
D11R Dozers,6042.10.02.52-DZ007,Dozer Track Caterpillar D11R 7PZ ,G4710," $3,500,000.00 ",true
D11R Dozers,6042.10.02.52-DZ008,Dozer Track Caterpillar D11R AAF ,G4711," $5,177,411.00 ",true
D11R Dozers,6042.10.02.52-DZ010,Dozer Track Caterpillar D11R AAF ,G4713," $5,177,411.00 ",true
D11R Dozers,6042.10.02.52-DZ011,Dozer Track Caterpillar D11R 7PZ ,G4714," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ012,Dozer Track Caterpillar D11T GEB ,G4715," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ013,Dozer Track Caterpillar D11T GEB ,G4716," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ014,Dozer Track Caterpillar D11T TPB ,G4717," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ015,Dozer Track Caterpillar D11T TPB ,G4718," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ016,Dozer Track Caterpillar D11T TPB ,G4719," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ017,Dozer Track Caterpillar D11T AMA ,G4720," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ018,Dozer Track Caterpillar D11T AMA ,G4721," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ022,Dozer Track Caterpillar D11T GEB ,G4722," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ023,Dozer Track Caterpillar D11T GEB ,G4723," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ024,Dozer Track Caterpillar D11T AMA ,G4724," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ025,Dozer Track Caterpillar D11T AMA ,G4725," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ026,Dozer Track Caterpillar D11T AMA ,G4726," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ027,Dozer Track Caterpillar D11T AMA ,G4727," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ028,Dozer Track Caterpillar D11T AMA ,G4728," $5,177,411.00 ",true
D11 Dozers,6042.10.02.52-DZ029,Dozer Track Caterpillar D11T AMA ,G4729," $5,177,411.00 ",true
D10 Dozers,6042.10.02.52-DZ004,Dozer Track Caterpillar D10T RJG ,G4558," $3,200,000.00 ",true
D10 Dozers,6042.10.02.52-DZ005,Dozer Track Caterpillar D10T RJG ,G4559," $3,200,000.00 ",true
D10 Dozers,6042.10.02.52-DZ020,Dozer Track Caterpillar D10T RJG ,G4561," $3,200,000.00 ",true
992 Loaders,6042.10.03.31-LD001,Loader Caterpillar 992G ,G3018," $3,500,000.00 ",true
992 Loaders,6042.10.03.31-LD002,Loader Caterpillar 992G ,G3019," $3,500,000.00 ",true
992 Loaders,6042.10.03.31-LD003,Loader Caterpillar 992G ,G3020," $3,500,000.00 ",true
993 Loaders,6042.10.03.31-LD004,Loader Caterpillar 993K ,G3021," $4,250,000.00 ",true
993 Loaders,6042.10.03.31-LD005,Loader Caterpillar 993K ,G3022," $4,250,000.00 ",true
777F Haul Trucks,6042.10.04.72-TK001,Truck Haul Caterpillar 777F ,G2711," $3,000,000.00 ",true
777F Haul Trucks,6042.10.04.72-TK002,Truck Haul Caterpillar 777F ,G2712," $3,000,000.00 ",true
