Unit,FunctionalLoc,MaintenancePlan,MaintItem,MaintItemText,Description,MaintItemDesc,MaintItemInterval,ik17component
G9218,6041.01.04.92-EL008,30775831,21211251,Mech Statutory Insp JLG G9218,Lift Platform JLG 800AJ G9218,Statutory Insp JLG G9218,80000H,
G2738,6042.10.04.72-TK026-ENGI,30316984,20450772,Mech Repl Fuel Injectors G2738,Engine G2738,Repl Fuel Injectors G2738,Mech,50293547
G2737,6042.10.04.72-TK025-ENGI,30320721,20456135,Mech Repl Fuel Injectors G2737,Engine G2737,Repl Fuel Injectors G2737,Mech,50293525
G2735,6042.10.04.72-TK023-HYSY,30318003,20452365,Mech Repl RH Hoist Cylinder G2735,Hydraulic System G2735,Repl RH Hoist Cylinder G2735,Mech,50293485
G2735,6042.10.04.72-TK023-HYSY,30318003,20452357,Mech Repl LH Hoist Cylinder G2735,Hydraulic System G2735,Repl LH Hoist Cylinder G2735,Mech,50293485
G2735,6042.10.04.72-TK023-ENGI,30316677,20450289,Mech Repl Fuel Injectors G2735,Engine G2735,Repl Fuel Injectors G2735,Mech,50293481
G2732,6042.10.04.72-TK020-ENGI,30316857,20450560,Mech Repl Fuel Injectors G2732,Engine G2732,Repl Fuel Injectors G2732,Mech,50293416
G2734,6042.10.04.72-TK022-ENGI,30318156,20452598,Mech Repl Fuel Injectors G2734,Engine G2734,Repl Fuel Injectors G2734,Mech,50293393
G2730,6042.10.04.72-TK018-HYSY,30317426,20451418,Mech Repl LH Hoist Cylinder G2730,Hydraulic System G2730,Repl LH Hoist Cylinder G2730,Mech,50293375
G2730,6042.10.04.72-TK018-HYSY,30317426,20451422,Mech Repl RH Hoist Cylinder G2730,Hydraulic System G2730,Repl RH Hoist Cylinder G2730,Mech,50293375
G2730,6042.10.04.72-TK018-ENGI,30320691,20456090,Mech Repl Fuel Injectors G2730,Engine G2730,Repl Fuel Injectors G2730,Mech,50293371
G2729,6042.10.04.72-TK017-HYSY,30317192,20451089,Mech Repl LH Hoist Cylinder G2729,Hydraulic System G2729,Repl LH Hoist Cylinder G2729,Mech,50293353
G2729,6042.10.04.72-TK017-HYSY,30317192,20451090,Mech Repl RH Hoist Cylinder G2729,Hydraulic System G2729,Repl RH Hoist Cylinder G2729,Mech,50293353
G2729,6042.10.04.72-TK017-ENGI,30318029,20452394,Mech Repl Fuel Injectors G2729,Engine G2729,Repl Fuel Injectors G2729,Mech,50293349
G2728,6042.10.04.72-TK016-HYSY,30316741,20450404,Mech Repl RH Hoist Cylinder G2728,Hydraulic System G2728,Repl RH Hoist Cylinder G2728,Mech,50293331
G2728,6042.10.04.72-TK016-HYSY,30316741,20450402,Mech Repl LH Hoist Cylinder G2728,Hydraulic System G2728,Repl LH Hoist Cylinder G2728,Mech,50293331
G2728,6042.10.04.72-TK016-ENGI,30319080,20453930,Mech Repl Fuel Injectors G2728,Engine G2728,Repl Fuel Injectors G2728,Mech,50293327
